show_id,type,title,director,date_added,release_year,rating,duration,listed_in,city
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,9/25/2021,2020,PG-13,90 min,Documentaries,panama
s3,TV Show,Ganglands,Julien Leclercq,9/24/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",welkom
s6,TV Show,Midnight Mass,Mike Flanagan,9/24/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",polen
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies",fuyang
s8,Movie,Sankofa,Haile Gerima,9/24/2021,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",tarumizu
s9,TV Show,The Great British Baking Show,Andy Devonshire,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",mari
s10,Movie,The Starling,Theodore Melfi,9/24/2021,2021,PG-13,104 min,"Comedies, Dramas",zielona-gora
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,5/1/2021,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",tarumizu
s13,Movie,Je Suis Karl,Christian Schwochow,9/23/2021,2021,TV-MA,127 min,"Dramas, International Movies",robertsport
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,5/1/2021,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",pyinmana
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,5/1/2021,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",blessington
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,5/1/2021,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",xinchang
s852,Movie,99 Songs (Tamil),Not Given,5/21/2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",vastra-frolunda
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",7/13/2021,2021,TV-14,39 min,Movies,zabieniec
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",6/12/2021,2021,TV-MA,36 min,Movies,khok-charoen
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",6/12/2021,2021,TV-MA,34 min,Movies,chrzanow
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",5/7/2021,2021,TV-14,35 min,Comedies,phoenix
s4,TV Show,Jailbirds New Orleans,Not Given,9/24/2021,2021,TV-MA,1 Season,"Docuseries, Reality TV",zabieniec
s15,TV Show,Crime Stories: India Detectives,Not Given,9/22/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",potoru
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",11/26/2019,2019,TV-Y,46 min,Children & Family Movies,otake
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",6/15/2018,2018,TV-Y,1 Season,Kids' TV,siemiatycze
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",6/15/2018,2018,TV-Y,1 Season,Kids' TV,shobara
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",5/18/2018,2018,TV-Y,1 Season,Kids' TV,famagusta
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",9/24/2021,2021,PG,91 min,Children & Family Movies,mertola
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,9/23/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",kaleybar
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",9/22/2021,2020,TV-MA,67 min,"Documentaries, International Movies",malaga
s7930,Movie,Samudri Lootere,Anirban Majumder,6/18/2019,2018,TV-Y,65 min,Children & Family Movies,santo-antonio-de-jesus
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,9/22/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",osinniki
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",9/21/2021,2021,TV-Y,61 min,Children & Family Movies,athi-river
s25,Movie,Jeans,S. Shankar,9/21/2021,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",sernovodsk
s28,Movie,Grown Ups,Dennis Dugan,9/20/2021,2010,PG-13,103 min,Comedies,kedungdoro
s29,Movie,Dark Skies,Scott Stewart,9/19/2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",bouna
s30,Movie,Paranoia,Robert Luketic,9/19/2021,2013,PG-13,106 min,Thrillers,kobuleti
s20,TV Show,Jaguar,Not Given,9/22/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",cihurip-satu
s32,TV Show,Chicago Party Aunt,Not Given,9/17/2021,2021,TV-MA,1 Season,TV Comedies,judaydah
s34,TV Show,Squid Game,Not Given,9/17/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",sade
s35,TV Show,Tayo and Little Wizards,Not Given,9/17/2021,2020,TV-Y7,1 Season,Kids' TV,dedza
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,9/14/2021,2021,TV-PG,2 Seasons,Reality TV,mitrovice
s84,TV Show,Metal Shop Masters,Not Given,9/10/2021,2021,TV-MA,1 Season,Reality TV,askainen
s86,TV Show,Pokémon Master Journeys: The Series,Not Given,9/10/2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",burnaby
s88,TV Show,Titipo Titipo,Not Given,9/10/2021,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",longxi
s90,TV Show,Mighty Raju,Not Given,9/9/2021,2017,TV-Y7,4 Seasons,Kids' TV,ubiaja
s101,TV Show,Tobot Galaxy Detectives,Not Given,9/7/2021,2019,TV-Y7,2 Seasons,Kids' TV,hailang
s122,TV Show,Hotel Del Luna,Not Given,9/2/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",yoloten
s133,TV Show,Brave Animated Series,Not Given,9/1/2021,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",hadapu-zhen
s148,TV Show,How to Be a Cowboy,Not Given,9/1/2021,2021,TV-PG,1 Season,Reality TV,munchen
s166,TV Show,Oldsters,Not Given,9/1/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",wonotirto
s190,TV Show,Bread Barbershop,Not Given,8/28/2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",crespo
s182,TV Show,Turning Point: 9/11 and the War on Terror,Not Given,9/1/2021,2021,TV-14,1 Season,Docuseries,potoru
s187,TV Show,Hometown Cha-Cha-Cha,Not Given,8/29/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",saint-dizier
s188,TV Show,The Ingenuity of the Househusband,Not Given,8/29/2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies",sever-do-vouga
s27,Movie,Minsara Kanavu,Rajiv Menon,9/21/2021,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",haarlem
s19,Movie,Intrusion,Adam Salky,9/22/2021,2021,TV-14,94 min,Thrillers,zhenkou
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,9/21/2021,1996,TV-PG,161 min,"Comedies, International Movies",wonju
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",9/17/2021,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",lestina
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,9/17/2021,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",sop-pong
s37,Movie,The Stronghold,Cédric Jimenez,9/17/2021,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",nanuque
s39,Movie,Birth of the Dragon,George Nolfi,9/16/2021,2017,PG-13,96 min,"Action & Adventure, Dramas",yallahs
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,9/16/2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",wabana
s76,Movie,You vs. Wild: Out Cold,Ben Simms,9/14/2021,2021,TV-G,106 min,Children & Family Movies,siemiatycze
s42,Movie,Jaws,Steven Spielberg,9/16/2021,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",waturoka
s43,Movie,Jaws 2,Jeannot Szwarc,9/16/2021,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",khomutovo
s44,Movie,Jaws 3,Joe Alves,9/16/2021,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",kvasiny
s45,Movie,Jaws: The Revenge,Joseph Sargent,9/16/2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",djibouti
s47,Movie,Safe House,Daniel Espinosa,9/16/2021,2012,R,115 min,Action & Adventure,kiten
s49,Movie,Training Day,Antoine Fuqua,9/16/2021,2001,R,122 min,"Dramas, Thrillers",olival
s1093,Movie,Dolly Parton: A MusiCares Tribute,Not Given,4/7/2021,2021,TV-PG,55 min,"Documentaries, Music & Musicals",inglewood
s195,TV Show,Deadly Sins,Not Given,8/27/2021,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",saint-dizier
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,9/15/2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",dortmund
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,9/15/2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",huabeitun
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,9/15/2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",pakong
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,9/15/2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",itamarandiba
s198,TV Show,I Heart Arlo,Not Given,8/27/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",mirpur-mathelo
s56,TV Show,Nailed It,Not Given,9/15/2021,2021,TV-PG,6 Seasons,Reality TV,avelinha
s498,TV Show,Cat People,Not Given,7/7/2021,2021,TV-14,1 Season,Docuseries,seraya
s214,TV Show,RIDE ON TIME,Not Given,8/27/2021,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",askainen
s219,TV Show,Titletown High,Not Given,8/27/2021,2021,TV-14,1 Season,"Reality TV, Teen TV Shows",otake
s225,TV Show,Motel Makeover,Not Given,8/25/2021,2021,TV-14,1 Season,"International TV Shows, Reality TV",tsul-ulaan
s226,TV Show,Open Your Eyes,Not Given,8/25/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",thouars
s227,TV Show,Post Mortem: No One Dies in Skarnes,Not Given,8/25/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",mayskiy
s46,Movie,My Heroes Were Cowboys,Tyler Greco,9/16/2021,2021,PG,23 min,Documentaries,bouna
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,9/15/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",orocue
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,9/15/2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",xinchang
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,9/15/2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",mitrovice
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,9/15/2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",norberg
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,9/15/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",balangonan
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,9/15/2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",santo-antonio-de-jesus
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,9/15/2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",pliwetan
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,9/15/2021,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",xiying
s243,TV Show,Comedy Premium League,Not Given,8/20/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies",sheffield
s244,TV Show,Everything Will Be Fine,Not Given,8/20/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",lebu
